TierID;CollarID;UTC_Date;UTC_Time;LMT_Date;LMT_Time;Latitude;Longitude;Height;DOP;X;Y;twilight_start;sunrise;sunset;twilight_end;moonilumination;daytime;ActMean;Trajectory;distance;speed;timelag
RE10;13573;05.06.2014;23:00:44;06.06.2014;00:00:44;47.2547165;8.5733456;691.34;1.8;685890;234377;05.06.2014 03:52;05.06.2014 04:31;05.06.2014 20:17;05.06.2014 20:56;0.507716491;N;53.56074074;RE10;29.61418579;0.002742308;10799
RE10;13573;06.06.2014;02:00:43;06.06.2014;03:00:43;47.2547805;8.572965;664.33;3.2;685861;234383;06.06.2014 03:51;06.06.2014 04:31;06.06.2014 20:18;06.06.2014 20:57;0.6131134;N;55.43638889;RE10;44.01136217;0.004074749;10801
RE10;13573;06.06.2014;05:00:44;06.06.2014;06:00:44;47.2551691;8.5729869;665.25;2.4;685862;234427;06.06.2014 03:51;06.06.2014 04:31;06.06.2014 20:18;06.06.2014 20:57;0.6131134;T;36.51851852;RE10;15.5241747;0.001437557;10799
RE10;13573;06.06.2014;08:00:43;06.06.2014;09:00:43;47.2553024;8.5730423;689.68;3.2;685866;234442;06.06.2014 03:51;06.06.2014 04:31;06.06.2014 20:18;06.06.2014 20:57;0.6131134;T;64.32861111;RE10;39.3192065;0.003640667;10800
RE10;13573;06.06.2014;11:00:43;06.06.2014;12:00:43;47.2549581;8.5731048;691.02;1.8;685871;234403;06.06.2014 03:51;06.06.2014 04:31;06.06.2014 20:18;06.06.2014 20:57;0.6131134;T;47.71916667;RE10;31.76476035;0.002941182;10800
RE10;13573;06.06.2014;14:00:43;06.06.2014;15:00:43;47.2550891;8.5727306;687.09;4.8;685843;234418;06.06.2014 03:51;06.06.2014 04:31;06.06.2014 20:18;06.06.2014 20:57;0.6131134;T;64.91268519;RE10;11.04536102;0.001017537;10855
RE10;13573;06.06.2014;17:01:38;06.06.2014;18:01:38;47.2550979;8.5728802;686.19;2.6;685854;234419;06.06.2014 03:51;06.06.2014 04:31;06.06.2014 20:18;06.06.2014 20:57;0.6131134;T;52.99777778;RE10;27.29468813;0.002540222;10745
RE10;13573;06.06.2014;20:00:43;06.06.2014;21:00:43;47.2548818;8.5730486;683.88;4;685867;234395;06.06.2014 03:51;06.06.2014 04:31;06.06.2014 20:18;06.06.2014 20:57;0.6131134;N;69.69490741;RE10;20;0.00185168;10801
RE10;13573;06.06.2014;23:00:44;07.06.2014;00:00:44;47.2550594;8.5730441;688.78;2;685867;234415;06.06.2014 03:51;06.06.2014 04:31;06.06.2014 20:18;06.06.2014 20:57;0.6131134;N;89.05518519;RE10;6.708203932;0.000619352;10831
RE10;13573;07.06.2014;02:01:15;07.06.2014;03:01:15;47.2550087;8.5730108;677.65;3.8;685864;234409;07.06.2014 03:51;07.06.2014 04:30;07.06.2014 20:19;07.06.2014 20:58;0.713408896;N;50.34166667;RE10;33.73425559;0.003132534;10769
