Anz_reh_lokalisationen;x;y;DG_us;DG_os
0;684625;237200;0.366997181;0.919913795
10;684625;237225;0.396919668;0.645349897
9;684625;237250;0.451661062;0.881120697
4;684625;237275;0.455668676;0.789822518
1;684625;237300;0.046580285;0.557094319
6;684625;237325;0.304015615;0.830461465
9;684625;237350;0.30365593;0.624670388
4;684625;237375;0.174949506;0.800436111
1;684625;237400;0.086476389;0.797854973
0;684625;237425;0.021283996;0.211090264
0;684625;237450;0.110444514;0.488955374
0;684600;237225;0.345624242;0.81585193
5;684600;237250;0.307554486;0.777626773
13;684600;237275;0.358741747;0.703042598
0;684600;237300;0.120635024;0.922581135
2;684600;237325;0.232090813;0.517043611
15;684600;237350;0.514401598;0.846967545
5;684600;237375;0.28494863;0.560517245
0;684600;237400;0.207249931;0.553635901
0;684600;237425;0.059520975;0.564361056
0;684600;237450;0.086450589;0.341932044
0;684575;237250;0.271380275;0.700152126
0;684575;237275;0.125272829;0.637342799
0;684575;237300;0.029074138;0.927991891
1;684575;237325;0.19940637;0.530669367
5;684575;237350;0.53473802;0.823270793
19;684575;237375;0.530582088;0.861414804
2;684575;237400;0.214663123;0.420436104
0;684575;237425;0.231608769;0.814497973
0;684575;237450;0.208687183;0.814837732
0;684575;237475;0.197501142;0.839832658
0;684550;237250;0.041779752;0.320547672
0;684550;237275;0.373148742;0.717180529
3;684550;237300;0.24063364;0.70844321
0;684550;237325;0.221192321;0.657195744
1;684550;237350;0.264099912;0.619700812
6;684550;237375;0.505981312;0.87310852
4;684550;237400;0.336578531;0.595420897
0;684550;237425;0.323942571;0.741739347
1;684550;237450;0.482056061;0.8256643
0;684550;237475;0.36911382;0.66207404
0;684525;237225;0.021486642;0.291592296
0;684525;237250;0.10111297;0.935076069
0;684525;237275;0.436629366;0.812636919
3;684525;237300;0.239381153;0.504766731
1;684525;237325;0.301899452;0.80247465
2;684525;237350;0.163036597;0.553646045
28;684525;237375;0.432961154;0.752363083
5;684525;237400;0.572495754;0.814568965
0;684525;237425;0.259189981;0.720527382
0;684525;237450;0.148938849;0.729066937
0;684500;237225;0.07715677;0.952616641
0;684500;237250;0.285634163;0.913899594
0;684500;237275;0.14557082;0.796156185
4;684500;237300;0.417697386;0.654254565
5;684500;237325;0.190901707;0.220329615
1;684500;237350;0.0482109;0.37998986
24;684500;237375;0.270848924;0.557799187
3;684500;237400;0.36195818;0.693280933
1;684500;237425;0.24445477;0.7731643
0;684500;237450;0.324756171;0.747915822
0;684475;237225;0.129521558;0.924771814
0;684475;237250;0.374117845;0.950010147
0;684475;237275;0.192110601;0.849771807
1;684475;237300;0.600419473;0.812358014
1;684475;237325;0.290502305;0.627089254
2;684475;237350;0.092206859;0.778417849
5;684475;237375;0.187429921;0.56179006
2;684475;237400;0.177609576;0.680131847
0;684475;237425;0.203203234;0.759371196
0;684475;237450;0.258080148;0.621795135
0;684475;237475;0.14955175;0.425826575
0;684450;237100;0.254088529;0.890126779
0;684450;237125;0.404685699;0.854979721
0;684450;237150;0.334884986;0.972180536
0;684450;237225;0.271519311;0.894994934
0;684450;237250;0.526167943;0.940263697
0;684450;237275;0.173819023;0.905131847
0;684450;237300;0.306846972;0.631282962
3;684450;237325;0.300106707;0.590070996
2;684450;237350;0.322706617;0.743519272
1;684450;237375;0.172520273;0.593798172
0;684450;237400;0.058008064;0.643260651
0;684450;237425;0.104764124;0.918078097
0;684450;237450;0.271728659;0.758975661
0;684450;237475;0.323914634;0.774350913
0;684425;237100;0.23497551;0.963519276
0;684425;237125;0.204136427;0.989173432
0;684425;237150;0.083034867;0.984584185
0;684425;237225;0.328093871;0.706648079
0;684425;237250;0.320979335;0.962576074
0;684425;237275;0.252594659;0.977373226
0;684425;237300;0.14311488;0.921343817
1;684425;237325;0.53332793;0.855512168
40;684425;237350;0.460217129;0.819589249
7;684425;237375;0.28590728;0.806044631
0;684425;237400;0.091197434;0.474787022
0;684425;237425;0.156188916;0.491648071
1;684400;237300;0.2722864;0.750101426
0;684400;237325;0.313871329;0.745507105
2;684400;237350;0.21394136;0.680223125
0;684400;237375;0.111413997;0.525451317
0;684400;237400;0.145728489;0.389792091
0;684400;237425;0.138980938;0.490126775
0;684375;237325;0.11426719;0.588696754
0;684375;237350;0.14010306;0.80164808
0;684375;237375;0.046240225;0.76784483
0;684375;237400;0.100057889;0.530877286
0;684350;237375;0.1554428;0.664290061
0;684750;237475;0.063164552;0.885963491
0;684750;237500;0.083993283;0.414203854
0;684725;237475;0.152974264;0.958519274
0;684725;237500;0.274959015;0.92135396
0;684725;237525;0.146627794;0.716379314
1;684700;237475;0.011198262;0.966896555
0;684700;237500;0.14614367;0.920745439
0;684700;237525;0.337344477;0.960370189
0;684700;237550;0.389121757;0.871784995
0;684675;237475;0.160119691;0.9660142
0;684675;237500;0.46790066;0.933336716
0;684675;237525;0.213133553;0.94004057
0;684675;237550;0.385179031;0.799041586
0;684675;237575;0.373799355;0.922500004
1;684650;237475;0.356275226;0.932631851
0;684650;237500;0.242506476;0.962657206
