pres_abs;nmb;x;y;forest;slope;dist_road_all;dist_road_only;dist_build;forest_prop;us;os;GPStot;id;time_of_day;stoerungskategorie
1;2;680775;238125;1;3.191387;17.97319;17.97319;263.1635;1;0.126267749;0.004056795;119;RE05;night;gering
0;0;680775;238150;1;3.595458;4.120942;4.120942;238.2332;1;0.251521298;0.4168357;119;RE05;night;gering
1;1;680775;238175;1;3.036424;17.95341;17.95341;213.3191;0.995355018;0.25;0.770791075;119;RE05;night;gering
0;0;680775;238200;1;2.963233;37.71631;37.71631;188.4278;0.947670328;0.403144016;0.297667343;119;RE05;night;gering
0;0;680775;238225;1;3.159561;57.34232;57.34232;163.5697;0.856493696;0.578600406;0.354462475;119;RE05;night;gering
1;3;680775;238250;1;2.808279;72.50357;72.50357;138.7626;0.750471195;0.131845842;0.927484787;119;RE05;night;gering
1;1;680775;238275;1;3.552773;60.16595;60.16595;114.0398;0.655467314;0.172920892;1;119;RE05;night;gering
0;0;680775;238300;0.4409402;3.521534;43.46607;43.46607;89.47133;0.574827618;0.151115619;0.546146044;119;RE05;night;gering
1;2;680775;238325;0;3.473038;29.72741;29.72741;65.23191;0.504042272;0;0;119;RE05;night;gering
1;1;680750;238000;1;5.01225;17.97319;17.97319;388.9116;1;3.40E-12;1;119;RE05;night;gering
0;0;680750;238025;1;8.303247;4.120942;4.120942;364.3497;1;0.022312373;0.898580122;119;RE05;night;gering
1;2;680750;238050;1;7.27746;18.81738;18.81738;339.73;1;0;1;119;RE05;night;gering
1;5;680750;238075;1;4.447442;38.69697;38.69697;315.1085;1;0;0.745943205;119;RE05;night;gering
1;1;680750;238100;1;3.505681;49.76252;49.76252;290.5418;1;0.004056795;0.026369168;119;RE05;night;gering
0;0;680750;238125;1;3.522287;32.57132;32.57132;265.906;1;0.109533469;0.160243408;119;RE05;night;gering
0;0;680750;238150;1;3.12691;13.38337;13.38337;241.3106;0.999585687;0.213995943;0.155172414;119;RE05;night;gering
1;1;680750;238175;1;3.414707;5.297079;5.297079;216.7812;0.971247021;0.304259635;0.623225152;119;RE05;night;gering
1;1;680750;238200;1;3.34413;22.82768;22.82768;192.3684;0.895878012;0.303245436;0.598884381;119;RE05;night;gering
0;0;680750;238225;1;2.608131;43.32549;43.32549;168.0947;0.790576423;0.251014199;0.946247464;119;RE05;night;gering
0;0;680750;238250;1;2.754436;63.46345;63.46345;144.0636;0.666398392;0.229208925;0.797160243;119;RE05;night;gering
1;2;680750;238275;0.7374827;3.178247;75.21266;75.21266;120.3818;0.547459985;0.197768763;0.774340771;119;RE05;night;gering
1;1;680750;238300;0;3.153285;64.00468;64.00468;97.362;0.448504601;0;0;119;RE05;night;gering
0;0;680750;238325;0;3.104177;51.60071;51.60071;75.61443;0.369688769;0;0;119;RE05;night;gering
0;0;680750;238350;0;2.484262;42.45102;42.45102;56.49993;0.310445279;0;0;119;RE05;night;gering
0;0;680725;238000;1;4.619942;32.35943;32.35943;384.4506;1;0.295131846;0.898580122;119;RE05;night;gering
0;0;680725;238025;1;6.996137;12.20599;12.20599;359.9337;1;0.246450304;1;119;RE05;night;gering
1;2;680725;238050;1;7.616388;5.800137;5.800137;335.4882;1;0.072515213;0.954361055;119;RE05;night;gering
1;4;680725;238075;1;4.681139;24.00277;24.00277;311.1307;1;0.072515213;0.978194726;119;RE05;night;gering
1;3;680725;238100;1;3.450134;43.41559;43.41559;286.8838;1;0.00811359;0.850912779;119;RE05;night;gering
1;2;680725;238125;1;3.675159;47.05108;47.05108;262.7781;1;0.026369168;0.54969574;119;RE05;night;gering
1;1;680725;238150;1;3.087467;27.93235;27.93235;238.8531;0.99278281;0.077079108;0.175963489;119;RE05;night;gering
1;1;680725;238175;1;3.283798;8.488453;8.488453;215.0774;0.940169937;0.054766734;0.735294118;119;RE05;night;gering
0;0;680725;238200;1;3.541982;9.519177;9.519177;191.3715;0.852856458;0.250507099;0.906186613;119;RE05;night;gering
0;0;680725;238225;1;3.202131;28.66576;28.66576;167.7458;0.740378828;0.442190669;0.577586207;119;RE05;night;gering
1;2;680725;238250;0.9418168;2.90292;48.61898;48.61898;144.273;0.607173863;0.222109533;0.878803246;119;RE05;night;gering
1;8;680725;238275;0.04589008;2.712221;68.28871;68.28871;120.6127;0.463812387;0.050709939;0.275862069;119;RE05;night;gering
1;5;680725;238300;0;2.397872;81.6344;81.6344;96.71274;0.330137841;0;0;119;RE05;night;gering
1;2;680725;238325;0;2.793653;74.58475;74.58475;73.16972;0.230750394;0;0;119;RE05;night;gering
1;2;680725;238350;0;3.168006;61.03517;61.03517;51.02927;0.168615187;0;0;119;RE05;night;gering
0;0;680700;237975;1;5.167144;43.41559;43.41559;403.5436;1;0.147058824;0.945233266;119;RE05;night;gering
