Datetime;Fuss_IN;Fuss_OUT;Velo_IN;Velo_OUT
2016011308;0.000;0.000;1.065;0.000
2016011309;0.842;0.000;0.000;0.000
2016011310;0.000;9.109;0.000;0.000
2016011311;0.000;0.000;0.000;0.000
2016011312;0.842;1.139;0.000;0.000
2016011313;0.842;0.000;0.000;0.000
2016011314;0.842;2.277;1.065;0.000
2016011315;4.212;0.000;0.000;0.000
2016011316;0.842;2.277;4.261;1.027
2016011317;0.000;0.000;0.000;0.000
2016011318;0.000;0.000;0.000;0.000
2016011319;0.842;0.000;1.065;0.000
2016011320;0.000;0.000;0.000;0.000
2016011321;0.000;0.000;0.000;0.000
2016011322;0.000;0.000;0.000;0.000
2016011323;0.000;0.000;0.000;0.000
2016011400;0.000;0.000;0.000;0.000
2016011401;0.000;0.000;0.000;0.000
2016011402;0.000;0.000;0.000;0.000
2016011403;0.000;0.000;0.000;0.000
2016011404;0.000;0.000;0.000;0.000
2016011405;0.000;0.000;0.000;0.000
2016011406;0.000;0.000;0.000;0.000
2016011407;0.842;1.139;1.065;0.000
2016011408;0.842;2.277;0.000;1.027
2016011409;1.685;1.139;1.065;0.000
2016011410;2.527;4.554;0.000;1.027
2016011411;0.000;4.554;1.065;0.000
2016011412;1.685;6.832;0.000;0.000
2016011413;0.000;1.139;0.000;2.055
2016011414;0.000;1.139;0.000;0.000
2016011415;2.527;0.000;0.000;0.000
2016011416;1.685;2.277;2.131;1.027
2016011417;0.842;0.000;0.000;0.000
2016011418;0.000;0.000;0.000;0.000
2016011419;0.000;0.000;0.000;0.000
2016011420;0.000;0.000;0.000;0.000
2016011421;0.000;0.000;0.000;0.000
2016011422;0.000;0.000;0.000;0.000
2016011423;0.000;0.000;0.000;0.000
2016011500;0.000;0.000;0.000;0.000
2016011501;0.000;0.000;0.000;0.000
2016011502;0.000;0.000;0.000;0.000
2016011503;0.000;0.000;0.000;0.000
2016011504;0.000;0.000;0.000;0.000
2016011505;0.000;0.000;0.000;0.000
2016011506;0.000;0.000;0.000;0.000
2016011507;0.842;0.000;0.000;0.000
2016011508;2.527;0.000;0.000;0.000
2016011509;3.370;1.139;0.000;0.000
2016011510;2.527;4.554;0.000;0.000
2016011511;1.685;3.416;0.000;0.000
2016011512;0.842;3.416;0.000;0.000
2016011513;;;;
2016011514;0.842;3.416;1.065;0.000
2016011515;0.842;1.139;0.000;0.000
2016011516;1.685;2.277;1.065;1.027
2016011517;0.842;1.139;0.000;0.000
2016011518;0.000;0.000;0.000;0.000
2016011519;0.000;0.000;0.000;0.000
2016011520;0.000;1.139;0.000;0.000
2016011521;0.000;0.000;0.000;0.000
2016011522;0.000;0.000;0.000;0.000
2016011523;0.000;0.000;0.000;0.000
2016011600;0.000;0.000;0.000;0.000
2016011601;0.000;0.000;0.000;0.000
2016011602;0.000;0.000;0.000;0.000
2016011603;0.000;0.000;0.000;0.000
2016011604;0.000;0.000;0.000;0.000
2016011605;0.000;0.000;0.000;0.000
2016011606;0.000;0.000;0.000;0.000
2016011607;0.000;0.000;0.000;0.000
2016011608;2.527;2.277;0.000;0.000
2016011609;1.685;1.139;0.000;0.000
2016011610;4.212;2.277;1.065;1.027
2016011611;2.527;5.693;0.000;0.000
2016011612;3.370;3.416;0.000;0.000
2016011613;5.897;0.000;0.000;0.000
2016011614;6.739;9.109;2.131;0.000
2016011615;2.527;4.554;0.000;0.000
2016011616;2.527;4.554;0.000;1.027
2016011617;0.842;2.277;0.000;0.000
2016011618;0.000;1.139;0.000;2.055
2016011619;0.000;0.000;0.000;0.000
2016011620;0.000;0.000;0.000;0.000
2016011621;0.000;0.000;0.000;0.000
2016011622;0.000;0.000;0.000;0.000
2016011623;0.000;0.000;0.000;0.000
2016011700;0.000;0.000;0.000;0.000
2016011701;0.000;0.000;0.000;0.000
2016011702;0.000;0.000;0.000;0.000
2016011703;0.000;0.000;0.000;0.000
2016011704;0.000;0.000;0.000;0.000
2016011705;0.000;0.000;0.000;0.000
2016011706;0.000;0.000;0.000;0.000
2016011707;0.842;0.000;0.000;0.000
2016011708;2.527;2.277;1.065;0.000
2016011709;0.000;3.416;0.000;1.027
2016011710;5.054;4.554;0.000;0.000
2016011711;0.842;5.693;0.000;0.000
2016011712;5.054;2.277;0.000;0.000
2016011713;7.582;7.970;0.000;2.055
2016011714;9.266;9.109;0.000;2.055
2016011715;9.266;18.218;2.131;1.027
2016011716;3.370;5.693;1.065;1.027
2016011717;0.842;1.139;0.000;0.000
2016011718;0.000;0.000;0.000;0.000
2016011719;0.000;0.000;0.000;0.000
2016011720;0.000;0.000;0.000;0.000
2016011721;0.000;0.000;0.000;0.000
2016011722;0.000;0.000;0.000;0.000
2016011723;0.000;0.000;0.000;0.000
2016011800;0.000;0.000;0.000;0.000
2016011801;0.000;0.000;0.000;0.000
2016011802;0.000;0.000;0.000;0.000
2016011803;0.000;0.000;0.000;0.000
