ccrs;meat;gender;member;age_group;age_group_2
1000614110;1;F;Mitarbeitende;AK1;15 - 25-jaehrig
1000614110;1;F;Mitarbeitende;AK1;15 - 25-jaehrig
1000614110;0;F;Mitarbeitende;AK1;15 - 25-jaehrig
1000614110;1;F;Mitarbeitende;AK1;15 - 25-jaehrig
1000614110;1;F;Mitarbeitende;AK1;15 - 25-jaehrig
1000614110;0;F;Mitarbeitende;AK1;15 - 25-jaehrig
1000614110;1;F;Mitarbeitende;AK1;15 - 25-jaehrig
1000614110;1;F;Mitarbeitende;AK1;15 - 25-jaehrig
1000614110;1;F;Mitarbeitende;AK1;15 - 25-jaehrig
1000614110;0;F;Mitarbeitende;AK1;15 - 25-jaehrig
1000614110;1;F;Mitarbeitende;AK1;15 - 25-jaehrig
1000614110;1;F;Mitarbeitende;AK1;15 - 25-jaehrig
1000614110;1;F;Mitarbeitende;AK1;15 - 25-jaehrig
1000614110;1;F;Mitarbeitende;AK1;15 - 25-jaehrig
1000614110;0;F;Mitarbeitende;AK1;15 - 25-jaehrig
1000614110;0;F;Mitarbeitende;AK1;15 - 25-jaehrig
1000614110;1;F;Mitarbeitende;AK1;15 - 25-jaehrig
1000614110;0;F;Mitarbeitende;AK1;15 - 25-jaehrig
1000614110;1;F;Mitarbeitende;AK1;15 - 25-jaehrig
1000620782;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000614110;1;F;Mitarbeitende;AK1;15 - 25-jaehrig
1000614110;1;F;Mitarbeitende;AK1;15 - 25-jaehrig
1000614110;0;F;Mitarbeitende;AK1;15 - 25-jaehrig
1000614110;1;F;Mitarbeitende;AK1;15 - 25-jaehrig
1000620782;0;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620782;0;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620782;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000614110;1;F;Mitarbeitende;AK1;15 - 25-jaehrig
1000614110;0;F;Mitarbeitende;AK1;15 - 25-jaehrig
1000614110;0;F;Mitarbeitende;AK1;15 - 25-jaehrig
1000614110;0;F;Mitarbeitende;AK1;15 - 25-jaehrig
1000620782;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620782;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620789;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
